author_id,target_type,target_id,target,context,rating,content,status,is_historical,instructor,term,course_code,source_row,source_column,source_workbook
legacy:90e320e5b6373c7c368c5306196bfae9f0e15298,course,cuhksz_course_csc3001,离散数学,wangbaoxiang · 历史评价（学期未注明）,,趵翔的课上的贼舒服，期末给的评价也很好。我当时中午13：30的课很困，每次小眯一下抬起头来，趵翔都很理解很关心，没有责怪的意思,published,True,wangbaoxiang,历史评价（学期未注明）,CSC3001,38,H,课程评价.xlsx
legacy:a298191fe2f75d9777b0fb25bc24145607eb0b25,course,cuhksz_course_csc3001,离散数学,wangbaoxiang · 历史评价（学期未注明）,,final内容跟上课内容没啥关系,published,True,wangbaoxiang,历史评价（学期未注明）,CSC3001,38,I,课程评价.xlsx
legacy:b8857d9d46b6737df245ed0d4388bc7635c9eb37,course,cuhksz_course_csc3001,离散数学,wangbaoxiang · 历史评价（学期未注明）,,课程设置疑似太过简单。没听过课。,published,True,wangbaoxiang,历史评价（学期未注明）,CSC3001,38,L,课程评价.xlsx
legacy:d45a625fd34de70a0383edb65914fdfe38d45c51,course,cuhksz_course_csc3002,C/C++程序设计,huangrui · 历史评价（学期未注明）,,水，学不到东西,published,True,huangrui,历史评价（学期未注明）,CSC3002,39,D,课程评价.xlsx
legacy:67ad84e3dbe566baf4006117ef6de35c3b5123ff,course,cuhksz_course_csc3050,计算机体系结构,未注明教师 · 历史评价（学期未注明）,,rnm,published,True,未注明教师,历史评价（学期未注明）,CSC3050,40,E,课程评价.xlsx
legacy:89e4f382c3d030b5d53805569cf459d31792cd5c,course,cuhksz_course_csc3050,计算机体系结构,未注明教师 · 历史评价（学期未注明）,,下学期新老师wl大概率爆增,published,True,未注明教师,历史评价（学期未注明）,CSC3050,40,F,课程评价.xlsx
legacy:24c65a0a9d557b536983de806196c019544f7552,course,cuhksz_course_csc3050,计算机体系结构,未注明教师 · 历史评价（学期未注明）,,徐教授的课讲得很好。wl 相较之前钟教授时期小了太多。如果还觉得吃力你可能不适合学计算机,published,True,未注明教师,历史评价（学期未注明）,CSC3050,40,G,课程评价.xlsx
legacy:a0db3596c77c3267009b54c2a1bd2a58e4c2de98,course,cuhksz_course_csc3100,数据结构,Fang Yixiang · 历史评价（学期未注明）,,英语一般，人挺认真的，wl不大，课不错,published,True,Fang Yixiang,历史评价（学期未注明）,CSC3100,41,E,课程评价.xlsx
legacy:eec57522685f24f832f5606f4539e3f8fbad164c,course,cuhksz_course_csc3100,数据结构,Fang Yixiang · 历史评价（学期未注明）,,讲的一般般,published,True,Fang Yixiang,历史评价（学期未注明）,CSC3100,41,F,课程评价.xlsx
legacy:7937af86cdfc06b4d9c898727d0d4f73136d3c70,course,cuhksz_course_csc3100,数据结构,Fang Yixiang · 历史评价（学期未注明）,,上课讲的很无聊,published,True,Fang Yixiang,历史评价（学期未注明）,CSC3100,41,G,课程评价.xlsx
legacy:4b8fb5678d5f8f7d74ba56312627ebea5dd49434,course,cuhksz_course_csc3100,数据结构,Wu Zhizheng · 历史评价（学期未注明）,,上课互动感很好，有逻辑而且经常用好玩的例子来解释数据结构，强烈推荐,published,True,Wu Zhizheng,历史评价（学期未注明）,CSC3100,42,D,课程评价.xlsx
