courseCode,instructor,term,school
MKT3080,Diamond Tai,历史评价（学期未注明）,经管学院
MKT3310,Zhang Qiang,历史评价（学期未注明）,经管学院
MKT4040,未注明教师,历史评价（学期未注明）,经管学院
MKT4080,"Ren, Qi Tian",历史评价（学期未注明）,经管学院
MKT4110,Smart Powpaka,历史评价（学期未注明）,经管学院
MKT4120,Sam,历史评价（学期未注明）,经管学院
MKT4170,Jin，Yoonho,历史评价（学期未注明）,经管学院
MKT4220,"yang, li",历史评价（学期未注明）,经管学院
PED1001,shuttlecock,历史评价（学期未注明）,人文社科学院
PED1002,fitness equipment,历史评价（学期未注明）,人文社科学院
PHI1102,Christopher Kluz,历史评价（学期未注明）,人文社科学院
PHY1001,Han Ling,历史评价（学期未注明）,理工学院
PHY2001,未注明教师,历史评价（学期未注明）,理工学院
PHY3002,Zhang Zhaoyu,历史评价（学期未注明）,理工学院
PSY1010,Tsirogianni,历史评价（学期未注明）,人文社科学院
PSY2040,LinZhicheng,历史评价（学期未注明）,人文社科学院
PSY3020,Forward Fung Chin,历史评价（学期未注明）,人文社科学院
PSY4140,"Hoefeijzer, Serge",历史评价（学期未注明）,人文社科学院
PSY4160,Forward Fung Chin,历史评价（学期未注明）,人文社科学院
STA2001,"CHEN, Tianshi",历史评价（学期未注明）,数据科学学院
STA2001,"Chen, Yilun",历史评价（学期未注明）,数据科学学院
STA2001,"GALLEGO, Guillermo",历史评价（学期未注明）,数据科学学院
STA2001,"Tsang, ka-wai",历史评价（学期未注明）,数据科学学院
STA2001,"Zhang, Hailun",历史评价（学期未注明）,数据科学学院
STA2002,"Chen, Yilun",历史评价（学期未注明）,数据科学学院
STA2002,Haviv,历史评价（学期未注明）,数据科学学院
STA2002,Haviv Moshe,历史评价（学期未注明）,数据科学学院
STA2002,Moshe,历史评价（学期未注明）,数据科学学院
STA2003,未注明教师,历史评价（学期未注明）,数据科学学院
STA2003,yao jianfeng,历史评价（学期未注明）,数据科学学院
STA2004,未注明教师,历史评价（学期未注明）,数据科学学院
STA3002,未注明教师,历史评价（学期未注明）,数据科学学院
STA3010,Yin Feng,历史评价（学期未注明）,数据科学学院
STA3020,"Shi, jiasheng",历史评价（学期未注明）,数据科学学院
STA4001,"Zhang, Hailun",历史评价（学期未注明）,数据科学学院
STA4002,"Li, Zhaoyuan",历史评价（学期未注明）,数据科学学院
STA4003,"Tsang, ka-wai",历史评价（学期未注明）,数据科学学院
STA4020,未注明教师,历史评价（学期未注明）,数据科学学院
TRA3240,未注明教师,历史评价（学期未注明）,人文社科学院
